"","pclass","survived","sex","age","embarked"
"786","3rd",1,"female",22,"S"
"787","3rd",0,"male",18,"S"
"788","3rd",0,"male",16,"S"
"789","3rd",0,"male",45,"S"
"790","3rd",0,"male",NA,"C"
"791","3rd",0,"male",39,"C"
"792","3rd",0,"male",17,"C"
"793","3rd",0,"male",15,"C"
"794","3rd",0,"male",47,"S"
"795","3rd",1,"female",5,"S"
"796","3rd",0,"male",NA,"C"
"797","3rd",0,"male",40.5,"S"
"798","3rd",0,"male",40.5,"Q"
"799","3rd",1,"male",NA,"S"
"800","3rd",0,"male",18,"S"
"801","3rd",0,"female",NA,"Q"
"802","3rd",0,"male",NA,"Q"
"803","3rd",0,"male",NA,"Q"
"804","3rd",0,"male",26,"Q"
"805","3rd",0,"male",NA,"Q"
"806","3rd",1,"male",NA,"S"
"807","3rd",0,"female",21,"S"
"808","3rd",0,"female",9,"S"
"809","3rd",0,"male",NA,"S"
"810","3rd",0,"male",18,"S"
"811","3rd",0,"male",16,"S"
"812","3rd",0,"female",48,"S"
"813","3rd",0,"male",NA,"Q"
"814","3rd",0,"male",NA,"S"
"815","3rd",0,"male",25,"Q"
"816","3rd",0,"male",NA,"S"
"817","3rd",0,"male",NA,"C"
"818","3rd",0,"male",22,"S"
"819","3rd",1,"female",16,"Q"
"820","3rd",1,"female",NA,"Q"
"821","3rd",1,"male",9,"S"
"822","3rd",0,"male",33,"S"
"823","3rd",0,"male",41,"S"
"824","3rd",1,"female",31,"S"
"825","3rd",0,"male",38,"S"
"826","3rd",0,"male",9,"S"
"827","3rd",0,"male",1,"S"
"828","3rd",0,"male",11,"S"
"829","3rd",0,"female",10,"S"
"830","3rd",0,"female",16,"S"
"831","3rd",0,"male",14,"S"
"832","3rd",0,"male",40,"S"
"833","3rd",0,"female",43,"S"
"834","3rd",0,"male",51,"S"
"835","3rd",0,"male",32,"S"
"836","3rd",0,"male",NA,"S"
"837","3rd",0,"male",20,"S"
"838","3rd",0,"male",37,"S"
"839","3rd",0,"male",28,"S"
"840","3rd",0,"male",19,"S"
"841","3rd",0,"female",24,"S"
"842","3rd",0,"female",17,"Q"
"843","3rd",0,"male",NA,"S"
"844","3rd",0,"male",NA,"S"
"845","3rd",0,"male",28,"S"
"846","3rd",1,"female",24,"S"
"847","3rd",0,"male",20,"S"
"848","3rd",0,"male",23.5,"C"
"849","3rd",0,"male",41,"S"
"850","3rd",0,"male",26,"S"
"851","3rd",0,"male",21,"S"
"852","3rd",1,"female",45,"S"
"853","3rd",0,"female",NA,"S"
"854","3rd",0,"male",25,"S"
"855","3rd",0,"male",NA,"Q"
"856","3rd",0,"male",11,"C"
"857","3rd",1,"female",NA,"Q"
"858","3rd",1,"male",27,"S"
"859","3rd",1,"male",NA,"S"
"860","3rd",0,"female",18,"Q"
"861","3rd",1,"female",26,"S"
"862","3rd",0,"female",23,"S"
"863","3rd",1,"female",22,"S"
"864","3rd",0,"male",28,"S"
"865","3rd",0,"female",28,"S"
"866","3rd",0,"female",NA,"Q"
"867","3rd",1,"female",2,"S"
"868","3rd",1,"female",22,"S"
"869","3rd",0,"male",43,"S"
"870","3rd",0,"male",28,"S"
"871","3rd",1,"female",27,"S"
"872","3rd",0,"male",NA,"Q"
"873","3rd",1,"female",NA,"S"
"874","3rd",0,"male",42,"S"
"875","3rd",1,"male",NA,"S"
"876","3rd",0,"male",30,"C"
"877","3rd",0,"male",NA,"S"
"878","3rd",0,"female",27,"S"
"879","3rd",0,"female",25,"S"
"880","3rd",0,"male",NA,"S"
"881","3rd",1,"male",29,"C"
"882","3rd",1,"male",21,"S"
"883","3rd",0,"male",NA,"S"
"884","3rd",0,"male",20,"S"
"885","3rd",0,"male",48,"S"
"886","3rd",0,"male",17,"S"
"887","3rd",1,"female",NA,"Q"
"888","3rd",1,"male",NA,"S"
"889","3rd",0,"male",34,"S"
"890","3rd",1,"male",26,"S"
"891","3rd",0,"male",22,"S"
"892","3rd",0,"male",33,"S"
"893","3rd",0,"male",31,"S"
"894","3rd",0,"male",29,"S"
"895","3rd",1,"male",4,"S"
"896","3rd",1,"female",1,"S"
"897","3rd",0,"male",49,"S"
"898","3rd",0,"male",33,"S"
"899","3rd",0,"male",19,"S"
"900","3rd",1,"female",27,"S"
"901","3rd",0,"male",NA,"S"
"902","3rd",0,"female",NA,"S"
"903","3rd",0,"male",NA,"S"
"904","3rd",0,"female",NA,"S"
"905","3rd",0,"male",23,"S"
"906","3rd",1,"male",32,"S"
"907","3rd",0,"male",27,"S"
"908","3rd",0,"female",20,"S"
"909","3rd",0,"female",21,"S"
"910","3rd",1,"male",32,"S"
"911","3rd",0,"male",17,"S"
"912","3rd",0,"male",21,"S"
"913","3rd",0,"male",30,"S"
"914","3rd",1,"male",21,"S"
"915","3rd",0,"male",33,"S"
"916","3rd",0,"male",22,"S"
"917","3rd",1,"female",4,"C"
"918","3rd",1,"male",39,"C"
"919","3rd",0,"male",NA,"C"
"920","3rd",0,"male",18.5,"C"
"921","3rd",0,"male",NA,"Q"
"922","3rd",0,"male",NA,"S"
"923","3rd",1,"female",NA,"Q"
"924","3rd",1,"female",NA,"Q"
"925","3rd",0,"male",34.5,"Q"
"926","3rd",0,"male",44,"S"
"927","3rd",1,"male",NA,"Q"
"928","3rd",0,"male",NA,"C"
"929","3rd",0,"female",NA,"C"
"930","3rd",0,"male",NA,"Q"
"931","3rd",0,"male",NA,"Q"
"932","3rd",0,"male",NA,"Q"
"933","3rd",0,"female",22,"S"
"934","3rd",0,"male",26,"S"
"935","3rd",1,"female",4,"S"
"936","3rd",1,"male",29,"S"
"937","3rd",1,"female",26,"S"
"938","3rd",0,"female",1,"S"
"939","3rd",0,"male",18,"S"
"940","3rd",0,"female",36,"S"
"941","3rd",0,"male",NA,"C"
"942","3rd",1,"male",25,"C"
"943","3rd",0,"male",NA,"C"
"944","3rd",0,"female",37,"S"
"945","3rd",0,"male",NA,"S"
"946","3rd",1,"male",NA,"S"
"947","3rd",0,"male",NA,"S"
"948","3rd",1,"female",22,"S"
"949","3rd",0,"male",NA,"Q"
"950","3rd",1,"male",26,"S"
"951","3rd",0,"male",29,"S"
"952","3rd",0,"male",29,"S"
"953","3rd",0,"male",22,"S"
"954","3rd",1,"male",22,"C"
"955","3rd",0,"male",NA,"S"
"956","3rd",0,"female",NA,"S"
"957","3rd",0,"female",NA,"S"
"958","3rd",0,"female",NA,"S"
"959","3rd",0,"female",NA,"S"
"960","3rd",0,"male",32,"S"
"961","3rd",0,"male",34.5,"C"
"962","3rd",0,"female",NA,"Q"
"963","3rd",0,"male",NA,"Q"
"964","3rd",0,"male",36,"S"
"965","3rd",0,"male",39,"S"
"966","3rd",0,"male",24,"S"
"967","3rd",0,"female",25,"S"
"968","3rd",0,"female",45,"S"
"969","3rd",0,"male",36,"S"
"970","3rd",0,"female",30,"S"
"971","3rd",1,"male",20,"S"
"972","3rd",0,"male",NA,"Q"
"973","3rd",0,"male",28,"S"
"974","3rd",0,"male",NA,"S"
"975","3rd",0,"male",30,"S"
"976","3rd",0,"female",26,"S"
"977","3rd",0,"male",NA,"S"
"978","3rd",0,"male",20.5,"S"
"979","3rd",1,"male",27,"S"
"980","3rd",0,"male",51,"S"
"981","3rd",1,"female",23,"S"
"982","3rd",1,"male",32,"S"
"983","3rd",0,"male",NA,"S"
"984","3rd",0,"male",NA,"S"
"985","3rd",1,"female",NA,"Q"
"986","3rd",1,"male",24,"S"
"987","3rd",0,"male",22,"S"
"988","3rd",0,"female",NA,"Q"
"989","3rd",0,"male",NA,"Q"
"990","3rd",0,"male",NA,"S"
"991","3rd",0,"male",29,"S"
"992","3rd",1,"male",NA,"C"
"993","3rd",0,"female",30.5,"Q"
"994","3rd",1,"female",NA,"Q"
"995","3rd",0,"male",NA,"C"
"996","3rd",0,"male",35,"C"
"997","3rd",0,"male",33,"S"
"998","3rd",1,"female",NA,"C"
"999","3rd",0,"male",NA,"C"
"1000","3rd",1,"female",NA,"Q"
"1001","3rd",1,"male",NA,"Q"
"1002","3rd",1,"female",NA,"Q"
"1003","3rd",1,"female",NA,"Q"
"1004","3rd",1,"male",NA,"Q"
"1005","3rd",1,"female",NA,"Q"
"1006","3rd",0,"male",NA,"Q"
"1007","3rd",1,"female",NA,"Q"
"1008","3rd",1,"female",15,"Q"
"1009","3rd",0,"female",35,"Q"
"1010","3rd",0,"male",NA,"Q"
"1011","3rd",0,"male",24,"S"
"1012","3rd",0,"female",19,"S"
"1013","3rd",0,"female",NA,"Q"
"1014","3rd",0,"female",NA,"S"
"1015","3rd",0,"female",NA,"S"
"1016","3rd",0,"male",55.5,"S"
"1017","3rd",0,"male",NA,"Q"
"1018","3rd",1,"male",21,"S"
"1019","3rd",0,"male",NA,"S"
"1020","3rd",0,"male",24,"S"
"1021","3rd",0,"male",21,"S"
"1022","3rd",0,"male",28,"S"
"1023","3rd",0,"male",NA,"S"
"1024","3rd",1,"female",NA,"Q"
"1025","3rd",0,"male",25,"S"
"1026","3rd",1,"male",6,"S"
"1027","3rd",1,"female",27,"S"
"1028","3rd",0,"male",NA,"S"
"1029","3rd",1,"female",NA,"Q"
"1030","3rd",0,"male",NA,"Q"
"1031","3rd",0,"male",NA,"Q"
"1032","3rd",0,"male",34,"S"
"1033","3rd",0,"male",NA,"Q"
"1034","3rd",1,"male",NA,"S"
"1035","3rd",1,"male",NA,"C"
"1036","3rd",1,"male",NA,"C"
"1037","3rd",1,"female",NA,"C"
"1038","3rd",1,"female",NA,"C"
"1039","3rd",0,"male",NA,"S"
"1040","3rd",1,"female",NA,"Q"
"1041","3rd",1,"female",24,"Q"
"1042","3rd",0,"male",NA,"S"
"1043","3rd",1,"female",NA,"Q"
"1044","3rd",1,"female",NA,"Q"
"1045","3rd",1,"female",NA,"Q"
"1046","3rd",0,"male",18,"S"
"1047","3rd",0,"male",22,"S"
"1048","3rd",1,"female",15,"C"
"1049","3rd",1,"female",1,"C"
"1050","3rd",1,"male",20,"C"
"1051","3rd",1,"female",19,"C"
"1052","3rd",0,"male",33,"S"
"1053","3rd",0,"male",NA,"S"
"1054","3rd",0,"male",NA,"C"
"1055","3rd",0,"female",NA,"Q"
"1056","3rd",0,"male",NA,"S"
"1057","3rd",1,"male",12,"C"
"1058","3rd",1,"female",14,"C"
"1059","3rd",0,"female",29,"S"
"1060","3rd",0,"male",28,"S"
"1061","3rd",1,"female",18,"S"
"1062","3rd",1,"female",26,"S"
"1063","3rd",0,"male",21,"S"
"1064","3rd",0,"male",41,"S"
"1065","3rd",1,"male",39,"S"
"1066","3rd",0,"male",21,"S"
"1067","3rd",0,"male",28.5,"C"
"1068","3rd",1,"female",22,"S"
"1069","3rd",0,"male",61,"S"
"1070","3rd",0,"male",NA,"Q"
"1071","3rd",0,"male",NA,"Q"
"1072","3rd",1,"female",NA,"Q"
"1073","3rd",0,"male",NA,"Q"
"1074","3rd",0,"male",NA,"Q"
"1075","3rd",0,"male",NA,"Q"
"1076","3rd",0,"male",23,"S"
"1077","3rd",0,"female",NA,"Q"
"1078","3rd",1,"female",NA,"Q"
"1079","3rd",1,"female",NA,"Q"
"1080","3rd",1,"female",22,"S"
"1081","3rd",1,"male",NA,"Q"
"1082","3rd",1,"female",NA,"Q"
"1083","3rd",1,"male",9,"S"
"1084","3rd",0,"male",28,"S"
"1085","3rd",0,"male",42,"S"
"1086","3rd",0,"male",NA,"S"
"1087","3rd",0,"female",31,"S"
"1088","3rd",0,"male",28,"S"
"1089","3rd",1,"male",32,"S"
"1090","3rd",0,"male",20,"S"
"1091","3rd",0,"female",23,"S"
"1092","3rd",0,"female",20,"S"
"1093","3rd",0,"male",20,"S"
"1094","3rd",0,"male",16,"S"
"1095","3rd",1,"female",31,"S"
"1096","3rd",0,"female",NA,"Q"
"1097","3rd",0,"male",2,"S"
"1098","3rd",0,"male",6,"S"
"1099","3rd",0,"female",3,"S"
"1100","3rd",0,"female",8,"S"
"1101","3rd",0,"female",29,"S"
"1102","3rd",0,"male",1,"S"
"1103","3rd",0,"male",7,"S"
"1104","3rd",0,"male",2,"S"
"1105","3rd",0,"male",16,"S"
"1106","3rd",0,"male",14,"S"
"1107","3rd",0,"female",41,"S"
"1108","3rd",0,"male",21,"S"
"1109","3rd",0,"male",19,"S"
"1110","3rd",0,"male",NA,"C"
"1111","3rd",0,"male",32,"S"
"1112","3rd",0,"male",0.75,"S"
"1113","3rd",0,"female",3,"S"
"1114","3rd",0,"female",26,"S"
"1115","3rd",0,"male",NA,"S"
"1116","3rd",0,"male",NA,"S"
"1117","3rd",0,"male",NA,"S"
"1118","3rd",0,"male",21,"S"
"1119","3rd",0,"male",25,"S"
"1120","3rd",0,"male",22,"S"
"1121","3rd",1,"male",25,"S"
"1122","3rd",1,"male",NA,"C"
"1123","3rd",1,"female",NA,"C"
"1124","3rd",1,"female",NA,"C"
"1125","3rd",0,"female",NA,"Q"
"1126","3rd",0,"male",24,"S"
"1127","3rd",0,"female",28,"S"
"1128","3rd",0,"male",19,"S"
"1129","3rd",0,"male",NA,"S"
"1130","3rd",0,"male",25,"S"
"1131","3rd",0,"female",18,"S"
"1132","3rd",1,"male",32,"S"
"1133","3rd",0,"male",NA,"S"
"1134","3rd",0,"male",17,"S"
"1135","3rd",0,"male",24,"S"
"1136","3rd",0,"male",NA,"S"
"1137","3rd",0,"female",NA,"S"
"1138","3rd",0,"male",NA,"C"
"1139","3rd",0,"male",NA,"S"
"1140","3rd",0,"male",38,"S"
"1141","3rd",0,"male",21,"S"
"1142","3rd",0,"male",10,"Q"
"1143","3rd",0,"male",4,"Q"
"1144","3rd",0,"male",7,"Q"
"1145","3rd",0,"male",2,"Q"
"1146","3rd",0,"male",8,"Q"
"1147","3rd",0,"female",39,"Q"
"1148","3rd",0,"female",22,"S"
"1149","3rd",0,"male",35,"S"
"1150","3rd",1,"female",NA,"Q"
"1151","3rd",0,"male",NA,"S"
"1152","3rd",0,"female",NA,"S"
"1153","3rd",0,"male",50,"S"
"1154","3rd",0,"female",47,"S"
"1155","3rd",0,"male",NA,"S"
"1156","3rd",0,"male",NA,"S"
"1157","3rd",0,"female",2,"S"
"1158","3rd",0,"male",18,"S"
"1159","3rd",0,"female",41,"S"
"1160","3rd",1,"female",NA,"S"
"1161","3rd",0,"male",50,"S"
"1162","3rd",0,"male",16,"S"
"1163","3rd",1,"male",NA,"Q"
"1164","3rd",0,"male",NA,"Q"
"1165","3rd",0,"male",NA,"C"
"1166","3rd",0,"male",25,"C"
"1167","3rd",0,"male",NA,"C"
"1168","3rd",0,"male",NA,"Q"
"1169","3rd",0,"male",NA,"S"
"1170","3rd",0,"male",38.5,"S"
"1171","3rd",0,"male",NA,"S"
"1172","3rd",0,"male",14.5,"S"
"1173","3rd",0,"female",NA,"S"
"1174","3rd",0,"female",NA,"S"
"1175","3rd",0,"female",NA,"S"
"1176","3rd",0,"female",NA,"S"
"1177","3rd",0,"male",NA,"S"
"1178","3rd",0,"male",NA,"S"
"1179","3rd",0,"male",NA,"S"
"1180","3rd",0,"male",NA,"S"
"1181","3rd",0,"female",NA,"S"
"1182","3rd",0,"male",24,"S"
"1183","3rd",1,"female",21,"S"
"1184","3rd",0,"male",39,"S"
"1185","3rd",0,"male",NA,"C"
"1186","3rd",0,"male",NA,"C"
"1187","3rd",0,"male",NA,"C"
"1188","3rd",1,"female",1,"S"
"1189","3rd",1,"female",24,"S"
"1190","3rd",1,"female",4,"S"
"1191","3rd",1,"male",25,"S"
"1192","3rd",0,"male",20,"S"
"1193","3rd",0,"male",24.5,"S"
"1194","3rd",0,"male",NA,"Q"
"1195","3rd",0,"male",NA,"S"
"1196","3rd",0,"male",NA,"Q"
"1197","3rd",1,"male",29,"S"
"1198","3rd",0,"male",NA,"S"
"1199","3rd",1,"female",NA,"Q"
"1200","3rd",0,"male",NA,"S"
"1201","3rd",0,"male",NA,"S"
"1202","3rd",0,"male",22,"C"
"1203","3rd",0,"male",NA,"S"
"1204","3rd",0,"male",40,"S"
"1205","3rd",0,"male",21,"S"
"1206","3rd",1,"female",18,"S"
"1207","3rd",0,"male",4,"S"
"1208","3rd",0,"male",10,"S"
"1209","3rd",0,"female",9,"S"
"1210","3rd",0,"female",2,"S"
"1211","3rd",0,"male",40,"S"
"1212","3rd",0,"female",45,"S"
"1213","3rd",0,"male",NA,"S"
"1214","3rd",0,"male",NA,"S"
"1215","3rd",0,"male",NA,"S"
"1216","3rd",0,"male",NA,"Q"
"1217","3rd",1,"female",NA,"Q"
"1218","3rd",0,"male",19,"S"
"1219","3rd",0,"male",30,"S"
"1220","3rd",0,"male",NA,"S"
"1221","3rd",0,"male",32,"S"
"1222","3rd",0,"male",NA,"S"
"1223","3rd",0,"male",33,"C"
"1224","3rd",1,"female",23,"S"
"1225","3rd",0,"male",21,"S"
"1226","3rd",0,"male",60.5,"S"
"1227","3rd",0,"male",19,"S"
"1228","3rd",0,"female",22,"S"
"1229","3rd",1,"male",31,"S"
"1230","3rd",0,"male",27,"S"
"1231","3rd",0,"female",2,"S"
"1232","3rd",0,"female",29,"S"
"1233","3rd",1,"male",16,"S"
"1234","3rd",1,"male",44,"S"
"1235","3rd",0,"male",25,"S"
"1236","3rd",0,"male",74,"S"
"1237","3rd",1,"male",14,"S"
"1238","3rd",0,"male",24,"S"
"1239","3rd",1,"male",25,"S"
"1240","3rd",0,"male",34,"S"
"1241","3rd",1,"male",0.42,"C"
"1242","3rd",0,"male",NA,"C"
"1243","3rd",0,"male",NA,"C"
"1244","3rd",0,"male",NA,"C"
"1245","3rd",1,"female",16,"C"
"1246","3rd",0,"male",NA,"S"
"1247","3rd",0,"male",NA,"S"
"1248","3rd",1,"female",NA,"S"
"1249","3rd",0,"male",32,"S"
"1250","3rd",0,"male",NA,"Q"
"1251","3rd",0,"male",NA,"S"
"1252","3rd",0,"male",30.5,"S"
"1253","3rd",0,"male",44,"S"
"1254","3rd",0,"male",NA,"C"
"1255","3rd",1,"male",25,"S"
"1256","3rd",0,"male",NA,"C"
"1257","3rd",1,"male",7,"C"
"1258","3rd",1,"female",9,"C"
"1259","3rd",1,"female",29,"C"
"1260","3rd",0,"male",36,"S"
"1261","3rd",1,"female",18,"S"
"1262","3rd",1,"female",63,"S"
"1263","3rd",0,"male",NA,"S"
"1264","3rd",0,"male",11.5,"S"
"1265","3rd",0,"male",40.5,"S"
"1266","3rd",0,"female",10,"S"
"1267","3rd",0,"male",36,"S"
"1268","3rd",0,"female",30,"S"
"1269","3rd",0,"male",NA,"S"
"1270","3rd",0,"male",33,"S"
"1271","3rd",0,"male",28,"S"
"1272","3rd",0,"male",28,"S"
"1273","3rd",0,"male",47,"S"
"1274","3rd",0,"female",18,"S"
"1275","3rd",0,"male",31,"S"
"1276","3rd",0,"male",16,"S"
"1277","3rd",0,"female",31,"S"
"1278","3rd",1,"male",22,"C"
"1279","3rd",0,"male",20,"S"
"1280","3rd",0,"female",14,"S"
"1281","3rd",0,"male",22,"S"
"1282","3rd",0,"male",22,"S"
"1283","3rd",0,"male",NA,"S"
"1284","3rd",0,"male",NA,"S"
"1285","3rd",0,"male",NA,"S"
"1286","3rd",0,"male",32.5,"S"
"1287","3rd",1,"female",38,"C"
"1288","3rd",0,"male",51,"S"
"1289","3rd",0,"male",18,"S"
"1290","3rd",0,"male",21,"S"
"1291","3rd",1,"female",47,"S"
"1292","3rd",0,"male",NA,"S"
"1293","3rd",0,"male",NA,"S"
"1294","3rd",0,"male",NA,"S"
"1295","3rd",0,"male",28.5,"S"
"1296","3rd",0,"male",21,"S"
"1297","3rd",0,"male",27,"S"
"1298","3rd",0,"male",NA,"S"
"1299","3rd",0,"male",36,"S"
"1300","3rd",0,"male",27,"C"
"1301","3rd",1,"female",15,"C"
"1302","3rd",0,"male",45.5,"C"
"1303","3rd",0,"male",NA,"C"
"1304","3rd",0,"male",NA,"C"
"1305","3rd",0,"female",14.5,"C"
"1306","3rd",0,"female",NA,"C"
"1307","3rd",0,"male",26.5,"C"
"1308","3rd",0,"male",27,"C"
"1309","3rd",0,"male",29,"S"
